References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1,C2",2,Capacitor 100nF 0805,MULTICOMP,MC0805B104K500CT,Multicomp,MC0805B104K500CT,Yageo,CC0805KRX7R9BB104,Vishay,VJ0805Y104KXAAT,Murata,GRM21BR71H104KA01L,311-1140-6-ND,603CC805KRX7R9BB104,4514777,,3019949
C10,1,Capacitor 10uF 0805,MULTICOMP,MC0805B106K6R3CT,Multicomp,MC0805B106K6R3CT,Samsung,CL21B106KOQNNNE,Murata,GRM21BR61C106KE15L,,,1276-2872-1-ND,187CL21B106KOQNNNE,6911161,,3013485
"C3,C4",2,Capacitor 100pF 0805,MULTICOMP,MC0805B101K500CT,Multicomp,MC0805B101K500CT,Samsung,CL21C101JBANNNC,,,,,1276-1014-6-ND,187CL21C101JBANNNC,7665875,,3013502
"C5,C6",2,Capacitor 15nF 0805,MULTICOMP,MC0805B153K500CT,Multicomp,MC0805B153K500CT,AVX,08051C153JAT2A,Yageo,CC0805KRX7R9BB153,,,311-1143-6-ND,58108051C153JAT2A,1988141,,718658
C7,1,Capacitor 1uF 0805,MULTICOMP,MC0805X105K160CT,Multicomp,MC0805X105K160CT,Yageo,CC0805KKX7R8BB105,Murata,GRM21BR71H105KA12L,,,311-1456-1-ND,603CC805KKX7R8BB105,1988103,,1458903
C8,1,Capacitor 1000uF MCVVT6R3M102FB3,MULTICOMP,MCVVT6R3M102FB3L,Panasonic,EEE-1AA102P,,,,,,,PCE3868CT-ND,,7472519,,2611416
C9,1,Capacitor 100uF 1206,KEMET,T490A107M006ATE500,Murata,GRM31CR60J107ME39L,,,,,,,399-T490A107M006ATE500CT-ND,81GRM31CR60J107ME9L,7661078P,,2688577
D1,1,Dual Schottky diode 30V 1.A SOT#,STMICROELECTRONICS,BAR43CFILM,STMicroelectronics,BAR43CFILM,,,,,,,497-2520-1-ND,511BAR43CFILM,4369678,,9801383
"IC1, IC2",2,Op Amp Texas Instruments OPA197  package:SOT23-5,Texas Instruments,OPA197IDBVT,,,,,,,,,296-44076-1-ND,595OPA197IDBVT,1330690,,3004840
IC3,1,Current limiting switch MIC2004-0.5YM5 SOT23-5,Microchip,MIC2004-0.5YM5-TR,,,,,,,,,576-2582-1-ND,998MIC20040.5YM5TR,1773195,,2509877
"Led1, Led2",2,M8 connector,TE CONNECTIVITY,T4041037041-000,TE Connectivity,T4041037041-000,,,,,,,A126815-ND,571T4041037041000,,,2817801
PYBOARD,1,Micropyhton Pyboard v1.1,MicroPython https://store.micropython.org/product/PYBv1.1,PYBv1.1,Adafruit industries LLC,2390,Adafruit Industries,2390,Pomona Electronics,2390,,,501-1069-ND,5652390,1245503,,2829171
"PYBOARD_CON_1,2",2,1X16 receptacle,Samtec,CES-116-01-T-S,,,,,,,,,SAM1087-16-ND,200CES11601TS,7666648,,1667522
"PYBOARD_CON_3,4",2,1X16 header,Samtec,TSW-116-06-T-S,,,,,,,,,SAM1027-16-ND,200TSW11606TS,1999907,,3670395
"Q1,Q2",2,N-Channel Mosfet SOT23 30V 1.2A NTR4503NT1G,INFINEON,IRLML2803GTRPBF,ON semiconductor,NTR4503NT1G,,,,,,,NTR4503NT1GOSDKR-ND,,7804751,,2726008
"R1,R2,R3,R4",4,Resistor 1kOhm 0805,MULTICOMP,MC01W080551K,Multicomp,MC01W080551K,Vishay,CRCW08051K00FKEA,Panasonic,ERJ-6ENF1001V,Yageo,RC0805FR-071KL,311-1.00KCRDKR-ND,603RC0805FR071KL,6790982,,9333711
"R11,R12",2,Resistor 100Ohm 0805,MULTICOMP,MCWR08X1000FTL,Multicomp,MCWR08X1000FTL,Vishay,CRCW0805100RFKEA,Panasonic,ERJ-6ENF1000V,Yageo,RC0805FR-07100RL,311-100CRDKR-ND,603RC0805FR07100RL,6790807,,2447552
"R13,R14",2,Resistor 4.7MOhm 0805,MULTICOMP,MCWR08W4704FTL,Multicomp,MCWR08W4704FTL,Yageo,RC0805JR-074M7L,,,,,311-4.7MARCT-ND,603RC0805JR074M7L,6791500,,3496127
"R5,R6",2,Resistor 4.7Ohm 0805,MULTICOMP,MCMR08W4R70FTL,Multicomp,MCMR08W4R70FTL,Yageo,RC0805FR-074R7L,,,,,311-4.70CRDKR-ND,603RC0805FR074R7L,6181486,,2073599
"R7,R8",2,Resistor 20kOhm 0805,MULTICOMP,MCPWR05FTEW2002,Multicomp,MCPWR05FTEW2002,Yageo,RC0805FR-0720KL,,,,,311-20.0KCRCT-ND,603RC0805FR0720KL,1995679,,1799469
"R9,R10",2,Resistor 100kOhm 0805,MULTICOMP,MCWR08X1003FTL,Multicomp,MCWR08X1003FTL,Yageo,RC0805FR-07100KL,Vishay,CRCW1206100KFKEA,Panasonic,ERJ-6ENF1003V,311-100KCRDKR-ND,603RC0805FR07100KL,6791761,,2459311
"Signal1, Signal2, Digital1, Digital2",4,BNC connector,TE CONNECTIVITY,1-1337445-0,TE Connectivity,1-1337445-0,,,,,,,A101972-ND,571113374450,3941055,,1205964
